@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,17-18'

@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
4,7,5,9,15,5,0,5,0,-1,True,True,False,False,1,1,16,3,East,East
4,5,5,8,13,3,2,5,0,-1,True,True,False,False,1,1,15,4,East,East
4,4,4,6,12,2,2,4,0,-1,True,True,False,False,1,1,14,5,East,East
4,4,3,4,10,3,0,3,0,-1,True,True,False,False,1,1,13,6,East,East
4,4,3,4,10,3,0,3,0,-1,True,False,False,False,1,4,12,7,East,East
4,4,3,2,8,0,2,2,0,-1,True,True,False,False,1,1,11,8,East,East
4,6,2,3,6,2,0,2,0,-1,True,True,False,False,1,1,10,9,East,East
4,6,2,5,5,2,0,2,0,-1,True,True,False,False,1,1,9,10,East,East
4,6,1,5,5,1,0,1,0,-1,True,True,False,False,1,1,8,11,East,East
3,6,-1,7,3,4,0,4,0,-1,True,True,False,False,1,1,7,12,East,East
3,8,-1,9,2,2,0,2,0,-1,True,True,False,False,1,1,6,13,East,East
3,8,-1,11,1,1,0,1,0,-1,True,False,False,False,1,4,5,14,East,East
2,8,-1,12,-1,5,3,8,0,-1,True,True,False,False,1,1,4,15,East,East
2,7,-1,12,-1,4,3,7,0,-1,True,False,False,False,1,4,5,14,East,West
2,5,-1,12,-1,4,1,5,0,-1,False,False,True,True,2,3,1,1,West,South
2,5,-1,10,-1,5,0,5,0,-1,False,False,False,False,3,2,5,14,South,South
2,5,-1,10,-1,4,1,5,0,-1,True,False,False,False,1,2,6,13,South,West
2,4,-1,10,-1,3,1,4,0,-1,True,False,False,False,1,2,7,12,West,West
2,2,-1,10,-1,1,1,2,0,-1,True,False,False,False,1,2,8,11,West,West
1,-1,-1,9,-1,8,1,9,0,-1,True,False,False,False,1,2,9,10,West,West
1,-1,-1,7,-1,7,0,7,0,-1,True,False,False,False,1,2,10,9,West,West
1,-1,-1,6,-1,6,0,6,0,-1,True,False,False,False,1,2,11,8,West,West
1,-1,-1,4,-1,4,0,4,0,-1,False,False,False,False,3,2,12,7,West,West
1,-1,-1,4,-1,3,1,4,0,-1,True,False,False,False,1,2,13,6,West,West
1,-1,-1,4,-1,3,1,4,0,-1,True,False,False,False,1,2,14,5,West,West
4,13,24,28,28,5,8,13,0,-1,False,False,True,True,2,15,1,1,Stop,South
4,12,22,26,27,5,7,12,0,-1,False,False,False,True,3,14,17,1,South,South
4,12,20,26,25,5,7,12,0,-1,False,False,False,True,4,13,17,1,South,South
4,12,18,26,25,5,7,12,0,-1,False,False,False,True,5,12,10,1,South,South
4,12,18,24,24,5,7,12,0,-1,False,False,True,True,6,11,1,1,South,South
4,10,18,24,25,4,6,10,0,-1,False,False,False,True,7,10,20,1,South,South
4,10,16,24,26,4,6,10,0,-1,False,False,True,True,8,9,1,1,South,South
4,8,14,24,27,3,5,8,0,-1,False,False,True,True,9,8,1,1,South,South
4,6,14,22,28,3,3,6,0,-1,False,False,True,True,10,7,1,1,South,South
4,6,12,22,29,4,2,6,0,-1,False,False,True,True,11,6,1,1,South,South
4,4,10,21,30,4,0,4,0,-1,False,False,True,True,12,5,1,1,South,South
4,4,8,19,32,3,1,4,0,-1,False,False,False,True,13,4,11,1,South,South
4,2,7,17,31,2,0,2,0,-1,True,False,False,False,1,4,10,2,South,East
4,2,7,17,31,1,1,2,0,-1,False,False,False,False,5,4,9,3,East,East
4,2,7,17,30,0,2,2,0,-1,False,False,False,False,5,4,8,4,East,East
3,-1,6,15,32,6,0,6,0,-1,False,False,False,False,6,3,2,4,East,South
3,-1,6,14,30,5,1,6,0,-1,False,False,True,False,6,3,1,5,South,East
3,-1,8,14,30,6,2,8,0,-1,False,False,False,False,5,4,7,5,East,North
3,-1,6,12,30,4,2,6,0,-1,False,True,False,False,5,1,6,6,North,East
3,-1,6,12,29,3,3,6,0,-1,True,True,False,False,1,1,5,7,East,East
3,-1,4,10,28,2,2,4,0,-1,False,False,False,False,11,4,4,8,East,East
3,-1,2,9,26,1,1,2,0,-1,False,False,False,False,11,4,3,9,East,East
3,-1,2,8,25,1,1,2,0,-1,False,False,False,False,11,4,2,10,East,East
3,-1,2,6,23,1,1,2,0,-1,False,False,True,False,7,4,1,11,East,East
3,-1,1,8,25,0,1,1,0,-1,False,False,False,False,11,4,2,10,East,West
2,-1,-1,7,26,7,0,7,0,-1,False,False,False,False,12,3,2,3,West,South
2,-1,-1,7,25,6,1,7,0,-1,False,False,True,False,8,3,1,4,South,East
2,-1,-1,7,23,6,1,7,0,-1,False,False,True,False,7,4,1,11,East,North
2,-1,-1,8,21,6,2,8,0,-1,False,False,True,False,6,5,1,4,North,North
2,-1,-1,10,20,6,4,10,0,-1,False,False,True,False,5,6,1,4,North,North
2,-1,-1,11,19,6,5,11,0,-1,False,False,True,False,4,7,1,4,North,North
2,-1,-1,11,19,5,6,11,0,-1,False,False,True,False,3,8,1,4,North,North
2,-1,-1,12,17,5,7,12,0,-1,False,False,True,False,2,9,1,4,North,North
2,-1,-1,14,17,5,9,14,0,-1,True,False,False,False,1,10,10,11,North,North
2,-1,-1,12,15,4,8,12,0,-1,True,True,False,False,1,1,9,12,North,East
2,-1,-1,12,15,4,8,12,0,-1,True,False,False,False,1,10,8,13,East,East
2,-1,-1,12,13,4,8,12,0,-1,False,False,False,False,7,10,7,14,East,East
2,-1,-1,10,15,4,6,10,0,-1,False,False,False,False,8,9,7,2,East,South
2,-1,-1,10,16,5,5,10,0,-1,False,False,False,False,9,8,12,2,South,South
2,-1,-1,9,17,5,4,9,0,-1,False,False,True,False,10,7,1,2,South,South
2,-1,-1,9,17,5,4,9,0,-1,False,False,False,False,11,6,12,2,South,South
2,-1,-1,9,17,5,4,9,0,-1,False,False,True,False,12,5,1,2,South,South
2,-1,-1,7,19,4,3,7,0,-1,False,False,False,False,13,4,12,2,South,South
2,-1,-1,5,19,2,3,5,0,-1,True,True,False,False,1,1,11,3,South,East
2,-1,-1,3,17,0,3,3,0,-1,True,True,False,False,1,1,10,4,East,East
2,-1,-1,4,16,1,3,4,0,-1,True,False,False,False,1,4,9,5,East,East
2,-1,-1,2,18,0,2,2,0,-1,False,False,False,True,2,3,4,1,East,South
2,-1,-1,2,18,1,1,2,0,-1,False,False,False,False,3,2,9,5,South,South
2,-1,-1,2,19,1,1,2,0,-1,True,False,False,False,1,2,10,4,South,West
2,-1,-1,2,20,1,1,2,0,-1,True,False,False,False,1,2,11,3,West,West
2,-1,-1,1,18,0,1,1,0,-1,True,False,False,False,1,2,10,4,West,East
1,-1,-1,-1,18,7,12,19,0,-1,False,True,False,False,2,1,10,4,East,South
1,-1,-1,-1,18,8,11,19,0,-1,False,True,False,False,2,1,11,3,South,West
1,-1,-1,-1,19,9,10,19,0,-1,False,True,False,False,16,1,12,2,West,West
1,-1,-1,-1,18,9,9,18,0,-1,False,False,False,False,15,2,12,2,West,North
1,-1,-1,-1,16,9,8,17,0,-1,False,False,True,False,14,3,1,2,North,North
1,-1,-1,-1,16,8,7,15,0,-1,False,False,False,False,13,4,12,2,North,North
1,-1,-1,-1,16,8,7,15,0,-1,False,False,True,False,12,5,1,2,North,North
1,-1,-1,-1,16,9,6,15,0,-1,False,False,False,False,11,6,12,2,North,North
1,-1,-1,-1,16,10,5,15,0,-1,False,False,True,False,10,7,1,2,North,North
1,-1,-1,-1,16,10,5,15,0,-1,False,False,False,False,9,8,12,2,North,North
1,-1,-1,-1,14,9,6,15,0,-1,False,True,False,False,3,1,11,3,North,East
1,-1,-1,-1,12,7,6,13,0,-1,False,True,False,False,3,1,10,4,East,East
1,-1,-1,-1,10,6,5,11,0,-1,False,True,False,False,9,1,9,5,East,East
1,-1,-1,-1,10,4,5,9,0,-1,False,True,False,False,5,1,8,6,East,East
1,-1,-1,-1,8,4,5,9,0,-1,False,True,False,False,5,1,7,7,East,East
1,-1,-1,-1,7,3,4,7,0,-1,False,True,False,False,9,1,6,8,East,East
1,-1,-1,-1,5,3,3,6,0,-1,False,False,True,False,8,2,1,8,East,North
1,-1,-1,-1,4,3,1,4,0,-1,False,False,True,False,7,3,1,20,North,North
1,-1,-1,-1,4,3,0,3,0,-1,False,False,True,False,6,4,1,4,North,North
1,-1,-1,-1,4,3,0,3,0,-1,False,False,True,False,5,5,1,9,North,North
1,-1,-1,-1,6,4,1,5,0,-1,False,False,False,True,4,6,6,1,North,North
1,-1,-1,-1,5,4,1,5,0,-1,False,True,False,False,4,1,5,2,North,East
1,-1,-1,-1,3,3,1,4,0,-1,False,False,False,False,2,3,4,3,East,East
1,-1,-1,-1,1,1,1,2,0,-1,False,False,False,False,2,3,3,4,East,East
1,-1,-1,-1,3,1,1,2,0,-1,False,False,False,False,2,2,2,5,East,East
4,7,8,8,8,1,6,7,113,1,True,True,False,False,1,1,6,3,Stop,West
4,7,9,8,10,1,6,7,112,1,True,True,False,False,1,1,7,2,West,West
4,7,11,8,10,1,6,7,111,1,False,True,False,True,11,1,8,1,West,West
4,6,9,8,8,1,5,6,110,1,False,False,True,True,10,2,1,1,West,North
4,5,7,7,7,1,4,5,109,1,False,False,False,False,9,3,8,4,North,North
4,4,9,7,9,0,4,4,108,1,False,True,False,False,5,1,9,3,North,West
4,4,9,5,9,1,3,4,107,1,False,False,False,False,4,2,2,3,West,North
4,4,9,6,10,1,3,4,106,1,False,False,False,False,4,4,3,2,North,West
4,4,10,6,11,0,4,4,105,1,False,False,False,True,6,2,4,1,West,West
4,4,10,6,11,0,4,4,104,1,False,False,False,True,5,3,4,1,West,North
4,2,10,6,9,0,2,2,103,1,False,False,False,True,4,4,4,1,North,North
4,2,9,6,8,0,2,2,102,1,False,False,False,False,3,5,9,3,North,North
3,-1,7,6,6,5,1,6,101,1,False,False,True,True,2,6,1,1,North,North
3,-1,7,4,7,4,0,4,101,1,False,False,False,False,3,5,9,3,North,South
3,-1,6,3,7,3,0,3,100,1,True,False,False,False,1,7,8,4,South,East
3,-1,6,3,5,3,0,3,99,1,True,False,False,False,1,5,7,5,East,East
3,-1,4,1,4,1,0,1,98,1,False,False,False,False,5,7,6,6,East,East
2,-1,4,-1,2,3,0,3,98,2,True,True,False,False,1,1,5,7,East,East
1,-1,3,-1,-1,1,2,3,98,3,True,True,False,False,1,1,4,8,East,East
1,-1,3,-1,-1,0,3,3,98,2,False,True,False,False,5,1,3,9,East,East
1,-1,3,-1,-1,0,3,3,98,1,False,False,False,True,4,2,2,1,East,North
1,-1,2,-1,-1,0,2,2,97,1,False,False,False,True,3,3,2,1,North,North
4,28,27,15,21,1,14,15,336,1,True,False,False,True,1,11,2,1,Stop,West
4,26,27,13,20,0,13,13,335,1,False,False,False,False,2,10,3,4,West,South
4,25,26,12,20,0,12,12,334,1,False,False,False,True,3,9,6,1,South,South
4,24,25,11,18,0,11,11,333,1,False,False,False,True,4,8,2,1,South,South
4,22,24,10,17,0,10,10,332,1,False,False,False,False,5,7,3,8,South,South
4,22,22,10,16,1,9,10,331,1,False,False,False,True,6,6,2,1,South,South
4,21,22,8,14,0,8,8,330,1,False,False,False,False,7,5,10,8,South,South
4,21,22,7,12,0,7,7,329,1,False,False,False,True,8,4,2,1,South,South
4,21,20,7,10,1,6,7,328,1,False,False,True,False,9,3,1,19,South,South
4,19,20,5,9,1,4,5,327,1,False,False,False,True,10,2,2,1,South,South
4,19,22,3,9,0,3,3,326,1,True,False,True,False,1,6,1,2,South,East
4,19,21,2,9,0,2,2,325,1,False,False,False,False,2,5,9,12,East,South
4,19,21,2,9,0,2,2,324,1,False,False,False,True,3,4,9,1,South,South
3,21,20,-1,9,6,4,10,323,1,False,False,True,False,4,3,1,2,South,South
3,19,22,-1,9,6,2,8,323,1,False,False,False,True,3,4,9,1,South,North
3,20,22,-1,9,5,3,8,322,1,False,True,False,False,2,1,8,2,North,East
3,22,22,-1,8,5,3,8,321,1,False,False,False,False,7,4,7,3,East,East
3,24,22,-1,6,4,3,7,320,1,False,False,False,False,12,4,6,4,East,East
3,26,24,-1,6,2,3,5,319,1,False,True,False,False,2,1,5,5,East,East
3,26,24,-1,6,1,4,5,318,1,False,False,False,False,9,4,4,6,East,East
3,26,24,-1,5,0,5,5,317,1,False,False,False,False,10,4,3,7,East,East
3,27,25,-1,3,0,4,4,316,1,False,False,False,False,9,5,3,18,East,North
3,27,27,-1,2,0,2,2,315,1,False,False,True,False,8,6,1,2,North,North
2,27,27,-1,-1,22,5,27,314,1,False,False,False,False,7,7,3,6,North,North
2,27,29,-1,-1,21,6,27,313,1,False,False,True,False,6,8,1,2,North,North
2,25,27,-1,-1,20,5,25,312,1,False,False,False,True,5,8,2,1,North,West
2,25,25,-1,-1,20,5,25,311,1,False,False,False,False,6,7,4,5,West,South
2,23,25,-1,-1,19,4,23,310,1,True,True,False,False,1,1,5,4,South,West
2,23,23,-1,-1,18,5,23,309,1,False,False,False,False,9,7,6,3,West,West
2,22,21,-1,-1,16,5,21,308,1,False,False,False,False,4,7,7,2,West,West
2,22,20,-1,-1,16,4,20,307,1,False,False,False,True,5,6,2,1,West,South
2,21,19,-1,-1,16,3,19,306,1,False,False,False,False,6,5,7,14,South,South
2,19,17,-1,-1,14,3,17,305,2,True,False,False,False,1,2,8,13,South,West
2,19,15,-1,-1,13,2,15,305,1,False,False,False,False,2,5,9,12,West,West
2,17,13,-1,-1,11,2,13,304,1,False,True,False,False,11,1,10,11,West,West
2,15,12,-1,-1,10,2,12,303,1,True,False,False,False,1,2,11,10,West,West
2,13,11,-1,-1,9,2,11,302,1,False,False,False,False,11,5,12,9,West,West
2,11,10,-1,-1,8,2,10,301,1,False,False,False,False,11,5,13,8,West,West
2,9,9,-1,-1,5,4,9,300,1,True,False,False,False,1,2,14,7,West,West
2,7,9,-1,-1,3,4,7,299,1,False,False,False,False,11,5,15,6,West,West
2,7,9,-1,-1,3,4,7,298,1,False,False,False,False,11,5,16,5,West,West
2,6,9,-1,-1,2,4,6,297,1,True,False,False,False,1,2,17,4,West,West
2,6,7,-1,-1,2,4,6,296,1,False,False,False,False,4,5,18,3,West,West
2,6,7,-1,-1,2,4,6,295,1,False,False,False,False,11,5,19,2,West,West
2,4,5,-1,-1,1,3,4,294,1,True,False,False,True,1,2,20,1,West,West
2,4,5,-1,-1,2,2,4,293,1,False,True,False,False,2,1,10,6,West,South
2,2,3,-1,-1,1,1,2,292,1,True,False,False,False,1,4,11,5,South,West
1,-1,3,-1,-1,0,3,3,291,1,False,False,False,False,7,4,12,4,West,West
1,-1,3,-1,-1,1,2,3,290,1,False,False,False,True,8,3,2,1,West,South
4,12,10,4,2,0,2,2,1,6,False,False,False,False,5,8,6,8,Stop,East
4,13,9,5,1,0,1,1,1,7,False,False,False,False,4,9,6,13,East,North
3,14,8,6,-1,0,6,6,1,8,False,False,False,False,3,10,6,13,North,North
3,13,9,5,-1,0,5,5,1,7,False,False,False,False,4,9,6,13,North,South
3,12,10,4,-1,0,4,4,1,6,False,False,False,False,5,8,6,8,South,South
3,11,11,3,-1,0,3,3,1,5,False,False,False,False,6,7,6,13,South,South
3,10,12,2,-1,0,2,2,1,6,False,False,False,False,7,6,6,13,South,South
3,9,13,1,-1,0,1,1,1,7,False,False,False,False,8,5,6,13,South,South
2,8,14,-1,-1,8,0,8,1,8,False,False,False,False,9,4,6,13,South,South
2,7,13,-1,-1,7,0,7,1,9,False,False,False,False,9,4,7,12,South,West
2,6,12,-1,-1,6,0,6,1,10,False,False,False,False,9,4,8,11,West,West
2,5,11,-1,-1,5,0,5,1,11,False,False,False,False,9,4,9,10,West,West
2,4,10,-1,-1,4,0,4,1,12,False,False,False,False,9,4,10,9,West,West
2,3,9,-1,-1,3,0,3,1,13,False,False,False,False,9,4,11,8,West,West
2,2,8,-1,-1,2,0,2,1,14,False,False,False,False,9,4,12,7,West,West
2,1,7,-1,-1,1,0,1,1,15,False,False,False,False,9,4,13,6,West,West
1,-1,6,-1,-1,0,6,6,1,16,False,False,False,False,4,4,14,5,West,West
1,-1,7,-1,-1,1,6,7,1,15,False,False,False,False,9,4,13,6,West,East
1,-1,6,-1,-1,1,5,6,1,14,False,False,False,False,8,5,13,6,East,North
1,-1,5,-1,-1,1,4,5,1,13,False,False,False,False,7,6,13,6,North,North
1,-1,4,-1,-1,1,3,4,1,12,False,False,False,False,6,7,13,6,North,North
1,-1,3,-1,-1,1,2,3,1,13,False,False,False,True,5,8,13,1,North,North
1,-1,2,-1,-1,1,1,2,1,14,False,False,False,False,4,9,13,6,North,North
4,6,6,12,14,4,2,6,0,-1,True,True,False,False,1,1,17,2,Stop,East
4,5,5,11,13,3,2,5,0,-1,True,True,False,False,1,1,16,3,East,East
4,4,4,10,12,2,2,4,0,-1,True,True,False,False,1,1,15,4,East,East
4,3,3,9,11,1,2,3,0,-1,True,True,False,False,1,1,14,5,East,East
4,2,2,8,10,0,2,2,0,-1,True,True,False,False,1,1,13,6,East,East
4,3,1,7,9,1,0,1,0,-1,True,False,False,False,1,4,12,7,East,East
3,4,-1,6,8,2,2,4,0,-1,True,True,False,False,1,1,11,8,East,East
3,3,-1,7,9,1,2,3,0,-1,True,False,False,False,1,4,12,7,East,West
3,2,-1,6,10,1,1,2,0,-1,False,False,True,True,2,3,1,1,West,South
3,1,-1,5,11,1,0,1,0,-1,False,False,False,False,3,2,12,7,South,South
2,-1,-1,6,12,5,1,6,0,-1,True,False,False,False,1,2,13,6,South,West
2,-1,-1,5,11,4,1,5,0,-1,False,False,False,False,3,2,12,7,West,East
2,-1,-1,4,10,3,1,4,0,-1,True,False,False,False,1,2,11,8,East,East
2,-1,-1,3,9,2,1,3,0,-1,True,False,False,False,1,2,10,9,East,East
2,-1,-1,2,8,1,1,2,0,-1,True,False,False,False,1,2,9,10,East,East
2,-1,-1,1,7,0,1,1,0,-1,True,False,False,False,1,2,8,11,East,East
1,-1,-1,-1,8,5,3,8,0,-1,False,True,False,False,2,1,8,11,East,South
1,-1,-1,-1,7,4,3,7,0,-1,False,True,False,False,2,1,7,12,South,East
1,-1,-1,-1,6,3,3,6,0,-1,False,True,False,False,2,1,6,13,East,East
1,-1,-1,-1,5,2,3,5,0,-1,False,True,False,False,4,1,5,14,East,East
1,-1,-1,-1,4,1,3,4,0,-1,False,True,False,False,2,1,4,15,East,East
1,-1,-1,-1,3,0,3,3,0,-1,False,True,False,False,4,1,3,16,East,East
1,-1,-1,-1,2,0,2,2,0,-1,False,False,False,False,3,2,3,16,East,North
4,12,24,27,28,4,8,12,0,-1,False,False,True,True,2,15,1,1,Stop,South
4,11,23,26,27,4,7,11,0,-1,False,False,False,True,3,14,17,1,South,South
4,10,22,25,26,4,6,10,0,-1,False,False,False,True,4,13,17,1,South,South
4,9,21,24,25,4,5,9,0,-1,False,False,False,True,5,12,10,1,South,South
4,8,20,23,24,4,4,8,0,-1,False,False,True,True,6,11,1,1,South,South
4,7,19,22,25,4,3,7,0,-1,False,False,False,True,7,10,20,1,South,South
4,6,18,21,26,4,2,6,0,-1,False,False,True,True,8,9,1,1,South,South
4,5,17,20,27,4,1,5,0,-1,False,False,True,True,9,8,1,1,South,South
4,4,16,19,28,4,0,4,0,-1,False,False,True,True,10,7,1,1,South,South
4,5,15,18,29,4,1,5,0,-1,False,False,True,True,11,6,1,1,South,South
4,6,14,17,30,4,2,6,0,-1,False,False,True,True,12,5,1,1,South,South
4,7,13,16,31,4,3,7,0,-1,False,False,False,True,13,4,11,1,South,South
4,6,12,15,30,3,3,6,0,-1,True,False,False,False,1,4,10,2,South,East
4,5,11,14,29,2,3,5,0,-1,False,False,False,False,5,4,9,3,East,East
4,4,10,13,28,1,3,4,0,-1,False,False,False,False,5,4,8,4,East,East
4,3,9,12,27,0,3,3,0,-1,False,False,False,False,5,4,7,5,East,East
4,2,10,13,26,0,2,2,0,-1,False,False,False,False,4,5,2,3,East,North
4,1,11,14,25,0,1,1,0,-1,False,False,False,False,3,6,2,3,North,North
3,-1,12,15,24,6,6,12,0,-1,False,False,False,False,2,7,2,3,North,North
3,-1,11,14,23,5,6,11,0,-1,False,False,True,False,2,4,1,4,North,East
3,-1,10,13,24,5,5,10,0,-1,False,False,True,False,3,3,1,4,East,South
3,-1,9,12,25,5,4,9,0,-1,False,False,True,False,4,2,1,4,South,South
3,-1,8,11,26,5,3,8,0,-1,False,True,False,False,5,1,6,6,South,South
3,-1,7,10,25,4,3,7,0,-1,True,True,False,False,1,1,5,7,South,East
3,-1,6,9,24,3,3,6,0,-1,False,False,False,False,11,4,4,8,East,East
3,-1,5,8,23,2,3,5,0,-1,False,False,False,False,11,4,3,9,East,East
3,-1,4,7,22,1,3,4,0,-1,False,False,False,False,11,4,2,10,East,East
3,-1,3,6,21,0,3,3,0,-1,False,False,True,False,7,4,1,11,East,East
3,-1,2,7,22,0,2,2,0,-1,False,False,True,False,8,3,1,4,East,South
3,-1,1,8,23,0,1,1,0,-1,False,False,True,False,9,2,1,4,South,South
2,-1,-1,9,24,6,3,9,0,-1,False,True,True,False,10,1,1,11,South,South
2,-1,-1,8,23,6,2,8,0,-1,False,False,True,False,9,2,1,4,South,North
2,-1,-1,7,22,6,1,7,0,-1,False,False,True,False,8,3,1,4,North,North
2,-1,-1,6,21,6,0,6,0,-1,False,False,True,False,7,4,1,11,North,North
2,-1,-1,7,20,6,1,7,0,-1,False,False,True,False,6,5,1,4,North,North
2,-1,-1,8,19,6,2,8,0,-1,False,False,True,False,5,6,1,4,North,North
2,-1,-1,9,18,6,3,9,0,-1,False,False,True,False,4,7,1,4,North,North
2,-1,-1,10,17,6,4,10,0,-1,False,False,True,False,3,8,1,4,North,North
2,-1,-1,11,16,6,5,11,0,-1,False,False,True,False,2,9,1,4,North,North
2,-1,-1,12,15,6,6,12,0,-1,True,False,False,False,1,10,10,11,North,North
2,-1,-1,11,14,5,6,11,0,-1,True,True,False,False,1,1,9,12,North,East
2,-1,-1,10,13,4,6,10,0,-1,True,False,False,False,1,10,8,13,East,East
2,-1,-1,9,12,3,6,9,0,-1,False,False,False,False,7,10,7,14,East,East
2,-1,-1,8,13,3,5,8,0,-1,False,False,False,False,8,9,7,2,East,South
2,-1,-1,7,14,3,4,7,0,-1,False,False,False,False,9,8,12,2,South,South
2,-1,-1,6,15,3,3,6,0,-1,False,False,True,False,10,7,1,2,South,South
2,-1,-1,5,16,3,2,5,0,-1,False,False,False,False,11,6,12,2,South,South
2,-1,-1,4,17,3,1,4,0,-1,False,False,True,False,12,5,1,2,South,South
2,-1,-1,3,18,3,0,3,0,-1,False,False,False,False,13,4,12,2,South,South
2,-1,-1,2,17,2,0,2,0,-1,True,True,False,False,1,1,11,3,South,East
2,-1,-1,1,16,1,0,1,0,-1,True,True,False,False,1,1,10,4,East,East
1,-1,-1,-1,15,8,7,15,0,-1,True,False,False,False,1,4,9,5,East,East
1,-1,-1,-1,16,9,7,16,0,-1,True,True,False,False,1,1,10,4,East,West
1,-1,-1,-1,17,10,7,17,0,-1,True,True,False,False,1,1,11,3,West,West
1,-1,-1,-1,18,11,7,18,0,-1,False,False,False,False,13,4,12,2,West,West
1,-1,-1,-1,17,11,6,17,0,-1,False,False,True,False,12,5,1,2,West,North
1,-1,-1,-1,16,11,5,16,0,-1,False,False,False,False,11,6,12,2,North,North
1,-1,-1,-1,15,11,4,15,0,-1,False,False,True,False,10,7,1,2,North,North
1,-1,-1,-1,14,11,3,14,0,-1,False,False,False,False,9,8,12,2,North,North
1,-1,-1,-1,13,10,3,13,0,-1,False,True,False,False,3,1,11,3,North,East
1,-1,-1,-1,12,9,3,12,0,-1,False,True,False,False,3,1,10,4,East,East
1,-1,-1,-1,11,8,3,11,0,-1,False,True,False,False,9,1,9,5,East,East
1,-1,-1,-1,10,7,3,10,0,-1,False,True,False,False,5,1,8,6,East,East
1,-1,-1,-1,9,6,3,9,0,-1,False,True,False,False,5,1,7,7,East,East
1,-1,-1,-1,8,5,3,8,0,-1,False,True,False,False,9,1,6,8,East,East
1,-1,-1,-1,7,5,2,7,0,-1,False,False,True,False,8,2,1,8,East,North
1,-1,-1,-1,6,5,1,6,0,-1,False,False,True,False,7,3,1,20,North,North
1,-1,-1,-1,5,5,0,5,0,-1,False,False,True,False,6,4,1,4,North,North
1,-1,-1,-1,6,5,1,6,0,-1,False,False,True,False,5,5,1,9,North,North
1,-1,-1,-1,7,5,2,7,0,-1,False,False,False,True,4,6,6,1,North,North
1,-1,-1,-1,6,4,2,6,0,-1,False,True,False,False,4,1,5,2,North,East
1,-1,-1,-1,5,3,2,5,0,-1,False,False,False,False,2,3,4,3,East,East
1,-1,-1,-1,4,2,2,4,0,-1,False,False,False,False,2,3,3,4,East,East
1,-1,-1,-1,3,1,2,3,0,-1,False,False,False,False,2,2,2,5,East,East
1,-1,-1,-1,2,0,2,2,0,-1,False,False,True,False,4,3,1,6,East,East
4,6,7,8,9,0,6,6,113,1,True,True,False,False,1,1,6,3,Stop,West
4,7,8,9,10,1,6,7,112,1,True,True,False,False,1,1,7,2,West,West
4,8,9,10,11,2,6,8,111,1,False,True,False,True,11,1,8,1,West,West
4,7,8,9,10,2,5,7,110,1,False,False,True,True,10,2,1,1,West,North
4,6,7,8,9,2,4,6,109,1,False,False,False,False,9,3,8,4,North,North
4,5,6,7,8,2,3,5,108,1,False,False,True,False,8,4,1,4,North,North
4,4,5,6,7,2,2,4,107,1,False,False,True,False,7,5,1,4,North,North
4,3,4,5,6,2,1,3,106,1,False,False,True,False,6,6,1,4,North,North
4,2,3,4,5,2,0,2,105,1,False,False,False,False,5,7,6,6,North,North
4,1,2,3,4,1,0,1,105,2,True,True,False,False,1,1,5,7,North,East
3,-1,1,2,3,1,0,1,105,3,True,True,False,False,1,1,4,8,East,East
2,-1,-1,1,2,1,0,1,105,2,False,True,False,False,5,1,3,9,East,East
4,27,28,14,20,1,13,14,336,1,True,False,False,True,1,11,2,1,Stop,West
4,26,27,13,19,1,12,13,335,1,False,False,False,False,2,10,3,4,West,South
4,25,26,12,20,0,12,12,334,1,True,True,False,False,1,1,4,3,South,West
4,24,25,13,21,1,12,13,333,1,False,False,False,False,2,14,5,2,West,West
4,23,24,12,20,1,11,12,332,1,False,False,True,False,3,13,1,5,West,South
4,22,23,11,19,1,10,11,331,1,False,False,True,False,4,12,1,2,South,South
4,21,22,10,18,1,9,10,330,1,False,False,False,False,5,11,5,6,South,South
4,20,21,9,17,1,8,9,329,1,False,False,True,False,6,10,1,2,South,South
4,19,20,8,16,1,7,8,328,1,False,False,False,False,7,9,12,6,South,South
4,18,19,7,15,1,6,7,327,1,False,False,True,False,8,8,1,2,South,South
4,17,18,6,14,1,5,6,326,1,False,False,False,False,9,7,3,17,South,South
4,16,17,5,13,1,4,5,325,1,False,False,True,False,10,6,1,2,South,South
4,17,16,4,12,1,3,4,324,1,False,False,False,False,11,5,12,9,South,South
4,18,15,3,11,1,2,3,323,1,False,False,False,False,12,4,2,14,South,South
4,19,16,2,12,1,1,2,322,1,False,False,True,False,13,3,1,2,South,South
4,20,17,1,13,1,0,1,321,1,False,False,False,False,14,2,2,17,South,South
3,21,18,-1,12,10,2,12,321,1,True,False,True,False,1,2,1,18,South,East
